[Wed Aug 11 2021 18:38:32 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 18:39:15 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:07:16 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:07:32 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:40:37 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:45:13 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=189.124.216.221  |  Req_page= /

[Wed Aug 11 2021 21:45:14 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=189.124.216.221  |  Req_page= /favicon.ico

[Wed Aug 11 2021 21:45:16 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=177.47.173.4  |  Req_page= /

[Wed Aug 11 2021 21:45:27 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=189.124.216.221  |  Req_page= /

[Wed Aug 11 2021 21:45:30 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=189.124.216.221  |  Req_page= /

[Wed Aug 11 2021 21:49:48 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:49:49 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:51:03 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:51:04 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:52:36 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:52:37 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:54:05 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::ffff:127.0.0.1  |  Req_page= /

[Wed Aug 11 2021 21:54:08 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::ffff:127.0.0.1  |  Req_page= /

[Wed Aug 11 2021 21:54:10 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::ffff:127.0.0.1  |  Req_page= /

[Wed Aug 11 2021 21:55:51 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::ffff:127.0.0.1  |  Req_page= /

[Wed Aug 11 2021 21:56:19 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:56:21 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

